Longitude,Latitude,avg_wind_speed
124.5,-16.25,4.1239886
124.75,-16.25,3.730587
125.0,-16.25,3.7511425
125.25,-16.25,3.9090316
125.5,-16.25,4.299122
125.75,-16.25,4.6392517
126.0,-16.25,5.0294704
126.25,-16.25,5.238635
126.5,-16.25,5.374908
126.75,-16.25,5.3861604
127.0,-16.25,5.2932425
127.25,-16.25,5.3357205
127.5,-16.25,5.3354006
127.75,-16.25,4.9439354
128.0,-16.25,4.2713
128.25,-16.25,4.0202637
128.5,-16.25,4.245704
128.75,-16.25,5.0192966
129.0,-16.25,5.6949124
129.25,-16.25,5.915431
129.5,-16.25,5.7728662
129.75,-16.25,5.6797442
130.0,-16.25,5.9110894
130.25,-16.25,6.0348325
130.5,-16.25,5.7087297
130.75,-16.25,5.4976707
131.0,-16.25,5.482285
131.25,-16.25,5.6696634
131.5,-16.25,5.8837643
131.75,-16.25,5.9424143
132.0,-16.25,5.890268
132.25,-16.25,5.8243136
132.5,-16.25,5.7707696
132.75,-16.25,5.6753716
133.0,-16.25,5.5915594
133.25,-16.25,5.5934496
133.5,-16.25,5.6147366
133.75,-16.25,5.5962057
134.0,-16.25,5.650246
134.25,-16.25,5.611821
134.5,-16.25,5.5366693
134.75,-16.25,5.545294
135.0,-16.25,5.4830956
135.25,-16.25,5.257292
135.5,-16.25,5.0493903
135.75,-16.25,4.884571
136.0,-16.25,4.7320094
136.25,-16.25,4.8458023
136.5,-16.25,4.8775244
136.75,-16.25,4.755349
137.0,-16.25,4.6953306
137.25,-16.25,4.8639364
137.5,-16.25,5.10579
141.5,-16.25,5.252229
141.75,-16.25,5.1169987
142.0,-16.25,5.1644173
142.25,-16.25,5.1700087
142.5,-16.25,5.197123
142.75,-16.25,5.1749506
143.0,-16.25,5.2453127
143.25,-16.25,5.2170925
143.5,-16.25,5.1740603
143.75,-16.25,4.931142
144.0,-16.25,4.8858223
144.25,-16.25,5.089252
144.5,-16.25,4.845638
144.75,-16.25,4.660414
145.0,-16.25,4.1860766
145.25,-16.25,3.7213845
123.5,-16.5,5.7262325
123.75,-16.5,5.219959
124.0,-16.5,4.8416457
124.25,-16.5,4.412357
124.5,-16.5,3.9772758
124.75,-16.5,3.8006496
125.0,-16.5,3.8654077
125.25,-16.5,4.1922307
125.5,-16.5,4.726876
125.75,-16.5,5.067285
126.0,-16.5,5.3477483
126.25,-16.5,5.5284295
126.5,-16.5,5.688608
126.75,-16.5,5.58589
127.0,-16.5,5.4473643
127.25,-16.5,5.5227447
127.5,-16.5,5.509941
127.75,-16.5,5.0003176
128.0,-16.5,4.4118977
128.25,-16.5,4.136176
128.5,-16.5,4.3014216
128.75,-16.5,4.9884253
129.0,-16.5,5.700314
129.25,-16.5,5.9331183
129.5,-16.5,5.840167
129.75,-16.5,5.953933
130.0,-16.5,6.2891755
130.25,-16.5,6.112266
130.5,-16.5,5.759268
130.75,-16.5,5.680624
131.0,-16.5,5.6742716
131.25,-16.5,5.8712826
131.5,-16.5,6.09563
131.75,-16.5,6.1353903
132.0,-16.5,6.054136
132.25,-16.5,5.977767
132.5,-16.5,5.9223633
132.75,-16.5,5.807064
133.0,-16.5,5.708468
133.25,-16.5,5.7152166
133.5,-16.5,5.7166085
133.75,-16.5,5.727328
134.0,-16.5,5.7666497
134.25,-16.5,5.8036227
134.5,-16.5,5.661915
134.75,-16.5,5.525966
135.0,-16.5,5.446678
