Latitude,Longitude,Mean Correlation,min_distance_to_line_km,avg_capacity_factor,avg_solar_radiation,score_km,score_wind_correlation,score_wind_capacity,score_solar_radiation
-12.75,131.25,-0.0197353487954907,12.5,0.07122571,494.1086,88,83,1,37
-12.75,131.5,-0.0118582643420224,0.9,0.07262528,498.93994,99,91,1,30
-12.75,131.75,-0.0087874802780182,19.8,0.07803076,501.09982,83,93,2,27
-12.75,132.0,-0.0024323043468896,42.4,0.0815264,500.6942,73,98,2,28
-12.75,132.25,0.0031323594129866,68.6,0.08040449,498.42047,65,98,2,31
-12.75,132.5,0.0009175223786206,95.6,0.08042066,496.71567,58,100,2,33
-12.75,132.75,-0.0041595817454868,122.8,0.08975076,493.62222,52,97,2,37
-12.75,133.0,-0.0122721670899495,150.2,0.11417581,489.72485,47,91,4,42
-12.75,133.25,-0.0124227904260069,177.6,0.14479156,487.36862,42,91,9,44
-12.75,133.5,-0.0109773407224565,201.6,0.16914481,485.57773,38,92,13,46
-12.75,133.75,-0.0090781742662546,209.4,0.1687319,482.43365,36,93,13,48
-12.75,134.0,-0.0105987982530634,220.0,0.15527387,479.07648,35,92,11,51
-12.75,134.25,-0.0118535521420112,233.5,0.14542948,475.88373,32,91,9,54
-12.75,134.5,-0.0082470616924443,249.2,0.13885088,473.08865,30,94,8,57
-12.75,134.75,-0.0044983002894912,266.8,0.11909633,469.5033,28,97,5,59
-12.75,135.0,0.0007101513227791,285.9,0.10990508,466.44336,25,100,4,62
-12.75,135.25,0.0001486707767028,306.4,0.12031948,460.50104,23,100,5,66
-12.75,135.5,-0.0111022678026486,327.8,0.124830626,454.314,20,91,6,71
-12.75,135.75,-0.0182575065358486,350.1,0.11482149,448.08594,18,85,4,75
-12.75,136.0,-0.0204314616432557,373.0,0.098906815,444.1168,16,83,3,78
-12.75,136.25,-0.0231688093001399,396.6,0.100756876,442.064,14,80,3,79
-12.75,136.5,-0.0345852023589291,420.5,0.15167777,446.93518,12,69,10,76
-12.75,142.0,0.0531413212884217,461.6,0.1642951,446.18088,9,47,12,77
-12.75,142.25,0.049915538477667,442.6,0.14570512,442.56375,10,51,9,79
-12.75,142.5,0.042716043939886,423.2,0.15460256,442.8109,12,60,11,79
