Latitude,Longitude,min_distance_nature_land_km
-16.25,143.0,19.4
-16.25,143.25,32.3
-16.25,143.5,42.7
-16.25,143.75,59.0
-16.25,144.0,35.7
-16.25,144.25,18.5
-16.25,144.5,25.4
-16.25,144.75,28.2
-16.25,145.0,9.6
-16.25,145.25,1.2
-16.25,145.5,2.0
-16.25,145.75,28.2
-16.5,122.75,90.0
-16.5,123.0,104.2
-16.5,123.25,122.6
-16.5,123.5,137.6
-16.5,123.75,111.0
-16.5,124.0,84.3
-16.5,124.25,57.8
-16.5,124.5,31.8
-16.5,124.75,10.9
-16.5,125.0,19.1
-16.5,125.25,26.5
-16.5,125.5,41.1
-16.5,125.75,57.5
-16.5,126.0,66.5
-16.5,126.25,83.6
-16.5,126.5,104.9
-16.5,126.75,117.0
-16.5,127.0,120.9
-16.5,127.25,129.7
-16.5,127.5,116.6
-16.5,127.75,99.1
-16.5,128.0,86.3
-16.5,128.25,76.9
-16.5,128.5,72.6
-16.5,128.75,73.7
-16.5,129.0,66.0
-16.5,129.25,66.9
-16.5,129.5,51.1
-16.5,129.75,24.3
-16.5,130.0,0.0
-16.5,130.25,0.0
-16.5,130.5,0.0
-16.5,130.75,9.1
-16.5,131.0,28.5
-16.5,131.25,43.6
-16.5,131.5,66.5
-16.5,131.75,88.1
-16.5,132.0,107.3
-16.5,132.25,125.3
-16.5,132.5,146.0
-16.5,132.75,160.0
-16.5,133.0,133.2
-16.5,133.25,106.4
-16.5,133.5,79.7
-16.5,133.75,52.9
-16.5,134.0,26.2
-16.5,134.25,0.0
-16.5,134.5,18.8
-16.5,134.75,45.6
-16.5,135.0,72.4
-16.5,135.25,91.8
-16.5,135.5,66.1
-16.5,135.75,41.9
-16.5,136.0,24.2
-16.5,136.25,27.4
-16.5,136.5,48.0
-16.5,136.75,72.7
-16.5,137.0,95.3
-16.5,137.25,103.0
-16.5,137.5,116.0
-16.5,137.75,133.3
-16.5,138.0,153.4
-16.5,138.25,175.3
-16.5,138.5,189.6
