Latitude,Longitude,normalized_km,normalized_corr,normalized_wind_capacity_factor,min_distance_to_line_km
-13.25,134.75,0.6758132956152758,0.9884308597727394,0.15169002961907163,229.2
-13.25,135.0,0.6448373408769448,0.9845829141762867,0.15486057169052597,251.1
-13.25,135.25,0.6123055162659123,0.9942753884330727,0.16688083570883974,274.1
-13.25,135.5,0.5787835926449787,0.9558908892114082,0.13092730412190842,297.8
-13.25,135.75,0.5445544554455446,0.9356371848325333,0.1278163073245432,322.0
-13.25,136.0,0.5096181046676096,0.911656773597649,0.2236735531475909,346.7
-13.25,141.75,0.3718528995756718,0.8883269060349609,0.2175688288489147,444.1
-13.25,142.0,0.40113154172560117,0.9065631140231343,0.1963499844569831,423.4
-13.25,142.25,0.42942008486562944,0.9001024885167656,0.21124041288449677,403.4
-13.25,142.5,0.4567185289957567,0.9094054757667462,0.21886678527412634,384.1
-13.25,142.75,0.4833097595473833,0.9099932387090245,0.24973241535220636,365.3
-13.25,143.0,0.5110325318246111,0.9103564908374303,0.26338573006926996,345.7
-13.25,143.25,0.5374823196605375,0.9217098230016977,0.2634795164950176,327.0
-13.25,143.5,0.5622347949080622,0.938966122441481,0.390642514895046,309.5
-13.5,130.0,0.8746817538896747,0.9541794177427451,0.1712438949896197,88.6
-13.5,130.25,0.8900990099009901,0.9504463589149484,0.1360955889302568,77.7
-13.5,130.5,0.8977369165487977,0.9485301827786545,0.11126611381424861,72.3
-13.5,130.75,0.9314002828854314,0.9410323615255006,0.11644801933206587,48.5
-13.5,131.0,0.9574257425742574,0.9371567133666394,0.12219518187524957,30.1
-13.5,131.25,0.9845827439886846,0.927141075543529,0.11754353471919488,10.9
-13.5,131.5,0.984016973125884,0.9315184094899605,0.1329665488430438,11.3
-13.5,131.75,0.9695898161244696,0.9403354256464556,0.1416350803794797,21.5
-13.5,132.0,0.9510608203677511,0.9584448474461946,0.14182311418505233,34.6
-13.5,132.25,0.9256011315417256,0.9644762751779284,0.14938276105438714,52.6
-13.5,132.5,0.8917963224893918,0.9670317407065822,0.1723321011923396,76.5
-13.5,132.75,0.8555869872701556,0.9720732389890125,0.1817787264348792,102.1
-13.5,133.0,0.8442715700141443,0.9826977687288395,0.2506026515219635,110.1
-13.5,133.25,0.8367751060820368,0.9959799549020858,0.2697757784949456,115.4
-13.5,133.5,0.8257425742574257,0.9886296996024092,0.22725168499748333,123.2
-13.5,133.75,0.809052333804809,0.9623781418907037,0.18486271873725554,135.0
-13.5,134.0,0.7865629420084865,0.9517028305150407,0.16230646282985103,150.9
-13.5,134.25,0.7598302687411598,0.9415474839973152,0.14694254108465157,169.8
-13.5,134.5,0.7302687411598303,0.9452305500432213,0.15738332822775652,190.7
-13.5,134.75,0.6985855728429986,0.9643311089215639,0.17641810450841744,213.1
-13.5,135.0,0.6654879773691655,0.9843423991027364,0.17071091280830886,236.5
-13.5,135.25,0.6312588401697312,0.9912752091355261,0.1577483845163256,260.7
-13.5,135.5,0.5963224893917963,0.9576476684880398,0.12638605224393556,285.4
-13.5,135.75,0.5606789250353607,0.9313492126982602,0.13540473158916455,310.6
-13.5,141.75,0.39646393210749653,0.8865546665394762,0.20018578318923108,426.7
-13.5,142.0,0.4265912305516266,0.9040071513000136,0.1890240380814342,405.4
-13.5,142.25,0.4557284299858557,0.8979888297656088,0.20142475038635607,384.8
-13.5,142.5,0.48415841584158414,0.8998314214215309,0.21020735999831036,364.7
-13.5,142.75,0.5113154172560113,0.9013608706722285,0.23447161193523053,345.5
-13.5,143.0,0.538048090523338,0.903283812525941,0.26187981243913977,326.6
-13.5,143.25,0.5657708628005658,0.9135107761640304,0.25881587002740264,307.0
-13.5,143.5,0.5920792079207922,0.9319700966344917,0.3598738141114231,288.4
-13.75,130.0,0.8405940594059406,0.9504057940515346,0.11849693603018889,112.7
-13.75,130.25,0.8524752475247525,0.9421806012449919,0.11331341878482827,104.3
-13.75,130.5,0.8769448373408769,0.940151419991958,0.12476375176789992,87.0
-13.75,130.75,0.9031117397454032,0.9374703312541628,0.13280588539461236,68.5
-13.75,131.0,0.9316831683168317,0.9417638991332583,0.12681274099376239,48.3
